id;id_pelanggan;nama;alamat;no_hp;email;password;id_paket;ip_router;ip_parent_router;remark1;remark2;remark3;id_server
1;AS06000000001;SERVER ASRI;ASRI;;user1@mail.com;111111;19;192.168.85.240;192.168.85.240;0;;;1
2;AS06000000002;bunga;ASRI;;user2@mail.com;111111;19;192.168.85.108;192.168.30.200;1;;;1
3;AS06000000003;Nanta;ASRI;;user3@mail.com;111111;19;192.168.85.107;91.91.91.1;1;;;1
4;AS06000000004;tomy;ASRI;;user4@mail.com;111111;19;192.168.85.109;192.168.63.200;1;;;1
7;AS06000000005;dinuk asta;ASRI;;user5@mail.com;111111;19;192.168.85.115;31.31.31.1;1;;;1
8;AS06000000006;hari;ASRI;;user6@mail.com;111111;19;192.168.85.118;192.168.50.1;1;;;1
9;AS06000000007;femi dewi;ASRI;;user7@mail.com;111111;19;192.168.85.117;50.50.50.1;1;;;1
10;AS06000000008;gibran;ASRI;;user8@mail.com;111111;19;192.168.85.119;192.168.82.1;1;;;1
11;AS06000000009;turnip;ASRI;;user9@mail.com;111111;19;192.168.85.120;192.168.83.1;1;;;1
12;AS06000000010;nana;ASRI;;user10@mail.com;111111;19;192.168.50.36;192.168.201.200;1;;;1
14;AS06000000011;JELO MELO siska;ASRI;;user11@mail.com;111111;19;192.168.85.102;192.168.85.116;1;;;1
15;AS06000000012;tutus;ASRI;;user12@mail.com;111111;19;192.168.85.121;192.168.85.240;1;;;1
16;AS06000000013;aqila shop DEDI;ASRI;;user13@mail.com;111111;19;192.168.85.116;192.168.85.111;1;;;1
19;AS06000000014;ABIT LUKMAN;ASRI;;user14@mail.com;111111;19;192.168.85.129;192.168.85.240;1;;;1
20;AS06000000015;merlin;ASRI;;user15@mail.com;111111;19;192.168.85.100;192.168.85.111;1;;;1
22;AS06000000016;tari;ASRI;;user16@mail.com;111111;19;192.168.85.106;192.168.85.100;1;;;1
23;AS06000000017;murni;ASRI;;user17@mail.com;111111;19;192.168.85.114;192.168.85.106;1;;;1
24;AS06000000018;dila / balqis;ASRI;;user18@mail.com;111111;19;192.168.85.111;192.168.85.240;1;;;1
25;AS06000000019;heri;ASRI;;user19@mail.com;111111;19;192.168.85.105;192.168.85.114;1;;;1
26;AS06000000020;hari 2;ASRI;;user20@mail.com;111111;19;192.168.85.112;192.168.85.118;1;;;1
752;AS06000000021;INSA intan adik;ASRI;;user21@mail.com;111111;19;192.168.85.130;192.168.85.129;0;;;1
753;AS06000000022;DANEN ZTE;ASRI;;user22@mail.com;111111;19;192.168.85.101;192.168.85.120;1;;;1
